period,combination,article_count,rank
2025-11,Construction Management × Predictive Analytics,30,1
2025-11,Construction Management × Robotics/Automation,10,4
2025-11,Transportation × Robotics/Automation,15,3
2025-11,Transportation × Predictive Analytics,19,2
2025-11,Structural × Predictive Analytics,6,7
2025-11,Environmental Engineering × Predictive Analytics,9,5
2025-11,Construction Management × Generative Design,3,10
2025-11,Structural × Robotics/Automation,5,8
2025-11,Construction Management × Computer Vision,7,6
2025-11,Environmental Engineering × Robotics/Automation,5,8
2025-12,Construction Management × Predictive Analytics,432,1
2025-12,Construction Management × Robotics/Automation,352,2
2025-12,Transportation × Robotics/Automation,165,3
2025-12,Transportation × Predictive Analytics,142,4
2025-12,Structural × Predictive Analytics,138,5
2025-12,Environmental Engineering × Predictive Analytics,118,6
2025-12,Construction Management × Generative Design,107,7
2025-12,Structural × Robotics/Automation,89,8
2025-12,Construction Management × Computer Vision,62,9
2025-12,Environmental Engineering × Robotics/Automation,61,10
