group_id,article_ids,count,titles
1,"3, 35, 114, 1646",4,Alphabet to acquire Intersect for $4.75bn in AI pu | Alphabet Acquiring Data Center Firm Intersect | Alphabet to buy clean energy developer Intersect i | Google parent Alphabet to acquire energy firm Inte
2,"39, 246",2,Pathos Communications' PathosMind Highlights Ten N | Pathos Communications' PathosMind Identifies Ten N
3,"59, 64",2,"Endra secures $20M to automate mechanical, electri | Exclusive: Swedish startup automating mechanical, "
4,"60, 1181",2,Data Centers in Space: Will 2027 Really Be the Yea | Data centres in space: will 2027 really be the yea
5,"185, 1317, 1322",3,Trump Truth Social is Merging with TAE Technologie | Trump’s Truth Social Merges With Nuclear Fusion Co | Trump Goes Nuclear: Truth Social’s $6 Billion Leap
6,"186, 192, 193, 191, 194, 197",6,Bernie Sanders Calls for Halt on Construction of N | Bernie Sanders Wants To Pause New Data Centers To  | Datacenters feel the Bern as Senator Sanders pushe | Bernie Sanders Calls for Pause on New AI Data Cent | Sen. Bernie Sanders: Here's Why We Need to Halt AI | Bernie Sanders calls for halt on AI data center co
7,"199, 204, 709",3,"U.S. gained 64,000 jobs in November but lost 105,0 | The US gained 64,000 jobs in November but lost 105 | The U.S. gained 64,000 jobs in November but lost 1"
8,"243, 244",2,Walmart and other US companies want to build a pip | Walmart and other US companies struggle to replace
9,"463, 464",2,Apple researchers unlock hidden heart data from Ap | New study shows how AI could unlock deeper heart d
10,"541, 1254",2,Hisense Reimagines Domestic Space Through Modulari | Hisense Bets Big on AI and Modularity for Home App
11,"587, 588, 589",3,AI data centers are forcing obsolete 'peaker' powe | AI data centers are forcing obsolete ‘peaker’ powe | AI data centers are forcing dirty ‘peaker’ power p
12,"605, 1135",2,How to Keep Gaza's Recovery from Becoming an 80-Ye | How to Keep Gaza’s Recovery From Becoming an 80-Ye
13,"610, 611",2,Morgan Stanley seen as front-runner for SpaceX IPO | Morgan Stanley favourite to lead SpaceX IPO
14,"639, 657",2,Rail Vision: Quantum AI Powers Next-Gen Rail Safet | Rail Vision Enters the Quantum Transportation Mark
15,"682, 693",2,AI Excellence Awards 2026: Best Strategic Applicat | AI Excellence Awards 2026: Most Effective Implemen
16,"733, 745",2,NASA to send a robotic arm into low Earth orbit | NASA to test commercial robotic arm in orbit to ad
17,"807, 1036",2,Global investors turn to Chinese AI stocks amid Wa | Global investors turn to Chinese AI as Wall Street
18,"1039, 1042",2,"India must be prepared to fight short, long durati | India must be prepared to fight short and long dur"
19,"1061, 1066, 1076, 1077",4,robo-infra 0.1.12 | robo-infra 0.1.10 | robo-infra 0.1.9 | robo-infra 0.1.8
20,"1309, 1311, 1588",3,SoftBank races to fulfil $22.5 billion funding com | SoftBank races to fulfill $22.5 billion funding co | Report: SoftBank scrambles to find $22.5B for Open
21,"1409, 1412",2,McDonald’s pulls AI-generated Christmas ad after b | McDonald's pulls AI Christmas ad after backlash
